Code,Description
L30,Disease in the stomach
F31.68,Deficiency in the lungs
S45,Deficiency of the heart
S69.45,Infection in the kidneys
U17.08,Diabetes of the spine
S18,Blockage of the liver
A45.54,Blockage unspecified
T37.65,Fever in the kidneys
Z90,Infection of the heart
B36.04,Lesion of the skin
K11.59,Bleeding in the brain
Q72.41,Anemia in the joints
C14,Deficiency of the skin
J81.70,Inflammation in the stomach
T02,Paralysis of the spine
H52.75,Nausea of the skin
F39.79,Anemia unspecified
T14,Pain in the joints
U29,Fever of the liver
C99.61,Disease in the brain
K64,Bleeding in the kidneys
F14,Headache of the spine
O46,Fracture of the skin
X09.29,Paralysis in the kidneys
Q46.21,Bleeding in the joints
O53,Cancer in the kidneys
D29.71,Cancer in the kidneys
O59.95,Diabetes in the lungs
E98.87,Anemia in the joints
E62.10,Vomiting of the heart
K34,Deficiency in the lungs
I35,Vomiting of the heart
T26.77,Infection of the spine
V64.64,Nausea unspecified
Z42.57,Diabetes of the liver
A55,Anemia of the spine
X09.46,Lesion of the spine
H38.44,Bleeding in the stomach
I23.85,Anemia of the liver
Q98.51,Nausea in the joints
U64.40,Fatigue unspecified
H77,Blockage in the lungs
U25,Pain of the heart
S45.18,Blockage in the kidneys
B28,Diabetes of the spine
Y56,Paralysis of the spine
N92.84,Blockage unspecified
G68.64,Pain of the spine
X60,Pain in the lungs
W17.28,Anemia unspecified
V95,Fracture in the brain
K81,Anemia of the spine
B47,Anemia in the lungs
O65,Paralysis of the skin
O66.05,Cancer in the joints
T11.14,Inflammation in the joints
O89.09,Pain in the stomach
L14,Disorder unspecified
D49.19,Anemia of the spine
A87.59,Disease of the heart
T63,Deficiency of the skin
V99,Headache of the skin
G60.43,Headache in the kidneys
K38.21,Pain of the heart
R15.44,Disorder of the heart
D59,Vomiting in the kidneys
T42.80,Pain of the liver
P93.31,Fracture of the spine
Q45.86,Disorder in the lungs
C56,Anemia in the lungs
K81,Lesion in the joints
R55.33,Disease in the brain
X08,Nausea of the spine
T07.74,Diabetes of the skin
I12.73,Fever of the skin
E59.21,Tumor of the heart
E11,Lesion in the joints
F51.29,Deficiency in the stomach
U48.42,Inflammation in the brain
U20.86,Fever in the brain
G16,Paralysis in the kidneys
C25.58,Infection in the stomach
K74.20,Fever of the liver
I82,Cancer of the spine
G58.82,Nausea in the lungs
T16,Bleeding of the skin
N18.32,Disease in the joints
B01.68,Fever of the spine
L90.42,Headache of the heart
K30.22,Pain of the spine
E25.09,Pain of the skin
S61.45,Blockage in the kidneys
E41.83,Diabetes in the joints
U96.58,Vomiting in the kidneys
U36.83,Pain in the kidneys
A04.01,Bleeding in the brain
U27,Inflammation in the stomach
D35.51,Fatigue unspecified
R03.48,Paralysis of the spine
E34,Deficiency in the lungs
E17.18,Pain of the heart
H71,Disorder of the liver
Q66,Inflammation in the joints
C00,Fatigue in the kidneys
O21,Disease in the kidneys
V94.84,Fracture of the skin
X07.33,Vomiting of the heart
Y73,Blockage of the liver
D06.87,Inflammation in the kidneys
K93.14,Fracture in the brain
N56.95,Anemia in the joints
U82.54,Blockage of the liver
L99,Lesion unspecified
N59,Infection unspecified
M76,Disease of the spine
L51.36,Inflammation of the liver
I65.25,Paralysis unspecified
E40.17,Tumor in the brain
M03.05,Tumor in the joints
X50.29,Disease in the stomach
B90.97,Nausea of the liver
Y66,Disease in the lungs
R41,Headache in the lungs
O28.80,Diabetes of the spine
K86.41,Deficiency of the liver
T32,Paralysis unspecified
L26,Fever in the kidneys
X24,Fatigue of the liver
C84,Diabetes of the skin
B36.64,Tumor unspecified
V84.41,Bleeding of the skin
Y58,Blockage unspecified
Y25,Nausea unspecified
S61.50,Bleeding of the skin
I48.61,Blockage of the spine
E87,Headache of the spine
N21,Bleeding in the kidneys
S60.63,Bleeding in the brain
V37.97,Fracture in the stomach
Z31,Fever unspecified
L76.70,Cancer in the kidneys
J00,Infection in the lungs
P46,Disorder in the brain
C83,Bleeding unspecified
J14.67,Bleeding in the kidneys
M15.82,Infection of the heart
H18,Inflammation in the brain
U47,Disease in the lungs
D27,Pain of the spine
Z60.48,Inflammation in the stomach
G69,Deficiency in the kidneys
P48,Blockage in the kidneys
F17.76,Diabetes of the liver
